Valor de mercado
"3,50 mill. €"
"1,20 mill. €"
"30,00 mill. €"
-
-
"32,00 mill. €"
"2,50 mill. €"
150 mil €
"25,00 mill. €"
"1,00 mill. €"
"7,00 mill. €"
500 mil €
"2,50 mill. €"
"15,00 mill. €"
"2,70 mill. €"
10 mil €
"1,20 mill. €"
300 mil €
"12,00 mill. €"
"1,20 mill. €"
"1,50 mill. €"
"2,00 mill. €"
"14,00 mill. €"
"7,00 mill. €"
"2,50 mill. €"
"65,00 mill. €"
200 mil €
400 mil €
"14,00 mill. €"
"1,20 mill. €"
"2,00 mill. €"
"1,20 mill. €"
"8,00 mill. €"
"2,50 mill. €"
"1,80 mill. €"
"7,00 mill. €"
"1,20 mill. €"
"25,00 mill. €"
600 mil €
"3,00 mill. €"
"10,00 mill. €"
-
"1,00 mill. €"
500 mil €
"30,00 mill. €"
"4,00 mill. €"
"1,80 mill. €"
0.00
100 mil €
75 mil €
"1,20 mill. €"
"40,00 mill. €"
"1,00 mill. €"
"6,00 mill. €"
"5,00 mill. €"
-
400 mil €
600 mil €
-
"2,00 mill. €"
-
"1,50 mill. €"
300 mil €
500 mil €
300 mil €
"1,00 mill. €"
"1,50 mill. €"
"8,00 mill. €"
900 mil €
0.00
"2,50 mill. €"
"6,00 mill. €"
"15,00 mill. €"
750 mil €
"6,00 mill. €"
"3,00 mill. €"
"8,00 mill. €"
"5,00 mill. €"
900 mil €
300 mil €
750 mil €
750 mil €
"13,00 mill. €"
-
"12,00 mill. €"
"15,00 mill. €"
-
100 mil €
"1,80 mill. €"
-
"2,00 mill. €"
-
"1,00 mill. €"
"3,00 mill. €"
"2,00 mill. €"
"7,00 mill. €"
-
"2,00 mill. €"
700 mil €
500 mil €
"1,00 mill. €"
-
"1,50 mill. €"
-
"1,50 mill. €"
800 mil €
150 mil €
"1,50 mill. €"
"10,00 mill. €"
300 mil €
"1,00 mill. €"
-
350 mil €
25 mil €
"50,00 mill. €"
600 mil €
300 mil €
"25,00 mill. €"
-
"3,00 mill. €"
100 mil €
25 mil €
"1,50 mill. €"
"4,00 mill. €"
"4,50 mill. €"
800 mil €
"4,50 mill. €"
-
"28,00 mill. €"
500 mil €
-
450 mil €
700 mil €
"1,00 mill. €"
"9,00 mill. €"
"1,00 mill. €"
"60,00 mill. €"
50 mil €
"1,20 mill. €"
"20,00 mill. €"
700 mil €
"1,80 mill. €"
900 mil €
"2,00 mill. €"
-
-
450 mil €
350 mil €
125 mil €
600 mil €
400 mil €
"6,00 mill. €"
-
"3,00 mill. €"
"18,00 mill. €"
"4,00 mill. €"
"20,00 mill. €"
200 mil €
"1,00 mill. €"
"28,00 mill. €"
"10,00 mill. €"
900 mil €
"18,00 mill. €"
600 mil €
"6,00 mill. €"
600 mil €
"1,80 mill. €"
"3,00 mill. €"
"3,00 mill. €"
"7,00 mill. €"
"65,00 mill. €"
"1,80 mill. €"
"70,00 mill. €"
"14,00 mill. €"
-
800 mil €
"12,00 mill. €"
"65,00 mill. €"
"2,50 mill. €"
"65,00 mill. €"
"10,00 mill. €"
"4,00 mill. €"
900 mil €
"2,00 mill. €"
-
"12,00 mill. €"
"3,50 mill. €"
"12,00 mill. €"
"4,00 mill. €"
"2,00 mill. €"
600 mil €
800 mil €
200 mil €
850 mil €
"4,00 mill. €"
"35,00 mill. €"
"5,50 mill. €"
"1,00 mill. €"
"24,00 mill. €"
600 mil €
"10,00 mill. €"
700 mil €
300 mil €
"18,00 mill. €"
50 mil €
"2,20 mill. €"
"50,00 mill. €"
"1,50 mill. €"
400 mil €
"1,20 mill. €"
800 mil €
"25,00 mill. €"
400 mil €
"15,00 mill. €"
"1,80 mill. €"
"2,50 mill. €"
"2,50 mill. €"
-
"4,00 mill. €"
-
"4,50 mill. €"
"4,00 mill. €"
300 mil €
"1,80 mill. €"
"40,00 mill. €"
200 mil €
800 mil €
-
300 mil €
"8,00 mill. €"
900 mil €
"10,00 mill. €"
"4,00 mill. €"
"2,20 mill. €"
"9,00 mill. €"
"1,00 mill. €"
500 mil €
-
-
450 mil €
"1,00 mill. €"
200 mil €
550 mil €
800 mil €
400 mil €
150 mil €
"1,80 mill. €"
"7,50 mill. €"
"15,00 mill. €"
200 mil €
-
250 mil €
300 mil €
200 mil €
50 mil €
"40,00 mill. €"
"2,50 mill. €"
"18,00 mill. €"
"18,00 mill. €"
75 mil €
450 mil €
"4,30 mill. €"
"2,00 mill. €"
"1,20 mill. €"
"11,00 mill. €"
"40,00 mill. €"
-
300 mil €
800 mil €
500 mil €
"5,00 mill. €"
"2,00 mill. €"
"1,50 mill. €"
"1,20 mill. €"
"2,00 mill. €"
"16,00 mill. €"
"40,00 mill. €"
-
"12,00 mill. €"
600 mil €
"1,50 mill. €"
800 mil €
-
200 mil €
250 mil €
500 mil €
300 mil €
200 mil €
"18,00 mill. €"
"11,00 mill. €"
275 mil €
900 mil €
0.00
"2,50 mill. €"
"35,00 mill. €"
"5,00 mill. €"
500 mil €
"5,00 mill. €"
300 mil €
"18,00 mill. €"
"45,00 mill. €"
900 mil €
"2,00 mill. €"
"15,00 mill. €"
"25,00 mill. €"
"9,00 mill. €"
"15,00 mill. €"
275 mil €
"2,50 mill. €"
"1,10 mill. €"
350 mil €
"1,00 mill. €"
-
800 mil €
"1,50 mill. €"
-
450 mil €
800 mil €
175 mil €
-
0.00
400 mil €
150 mil €
100 mil €
"1,60 mill. €"
"3,00 mill. €"
"2,50 mill. €"
"1,40 mill. €"
-
-
"32,00 mill. €"
"10,00 mill. €"
50 mil €
"1,20 mill. €"
"2,50 mill. €"
400 mil €
-
"50,00 mill. €"
"10,00 mill. €"
-
500 mil €
800 mil €
"3,00 mill. €"
"3,50 mill. €"
"1,00 mill. €"
100 mil €
-
-
500 mil €
"10,00 mill. €"
"8,00 mill. €"
"2,30 mill. €"
700 mil €
"18,00 mill. €"
"28,00 mill. €"
"3,00 mill. €"
700 mil €
"20,00 mill. €"
"15,00 mill. €"
"2,00 mill. €"
"20,00 mill. €"
"4,50 mill. €"
400 mil €
-
"15,00 mill. €"
"6,00 mill. €"
"15,00 mill. €"
"22,00 mill. €"
-
700 mil €
"1,10 mill. €"
700 mil €
"1,00 mill. €"
800 mil €
850 mil €
-
600 mil €
"2,00 mill. €"
-
"2,50 mill. €"
400 mil €
"2,50 mill. €"
900 mil €
"8,50 mill. €"
-
"1,50 mill. €"
550 mil €
300 mil €
"90,00 mill. €"
"1,30 mill. €"
250 mil €
"3,50 mill. €"
800 mil €
"5,00 mill. €"
"25,00 mill. €"
"6,00 mill. €"
-
"2,50 mill. €"
"1,20 mill. €"
0.00
-
"1,20 mill. €"
"1,00 mill. €"
75 mil €
"1,50 mill. €"
-
"1,00 mill. €"
"6,00 mill. €"
"1,60 mill. €"
400 mil €
"3,20 mill. €"
-
-
"35,00 mill. €"
"15,00 mill. €"
"10,00 mill. €"
-
"2,00 mill. €"
"13,00 mill. €"
200 mil €
"10,00 mill. €"
900 mil €
"2,00 mill. €"
"1,00 mill. €"
"2,20 mill. €"
-
"55,00 mill. €"
"6,00 mill. €"
"1,00 mill. €"
-
850 mil €
"1,20 mill. €"
500 mil €
"4,00 mill. €"
"3,00 mill. €"
"5,00 mill. €"
"40,00 mill. €"
300 mil €
"10,00 mill. €"
"80,00 mill. €"
"80,00 mill. €"
"1,50 mill. €"
"80,00 mill. €"
"12,00 mill. €"
"12,00 mill. €"
-
-
"5,00 mill. €"
250 mil €
"18,00 mill. €"
200 mil €
350 mil €
450 mil €
800 mil €
-
-
-
800 mil €
350 mil €
"7,00 mill. €"
-
"1,50 mill. €"
"3,50 mill. €"
-
"2,00 mill. €"
"1,00 mill. €"
300 mil €
"10,00 mill. €"
-
"9,00 mill. €"
"2,20 mill. €"
-
500 mil €
"2,50 mill. €"
750 mil €
"30,00 mill. €"
"5,00 mill. €"
"15,00 mill. €"
-
"22,00 mill. €"
-
"20,00 mill. €"
"1,50 mill. €"
"30,00 mill. €"
800 mil €
"5,00 mill. €"
-
"7,00 mill. €"
"5,00 mill. €"
-
"1,00 mill. €"
"18,00 mill. €"
"48,00 mill. €"
"1,50 mill. €"
600 mil €
"6,00 mill. €"
150 mil €
-
"30,00 mill. €"
-
"2,70 mill. €"
250 mil €
"75,00 mill. €"
200 mil €
500 mil €
300 mil €
"85,00 mill. €"
"1,30 mill. €"
500 mil €
"2,00 mill. €"
"1,00 mill. €"
"5,00 mill. €"
-
"1,00 mill. €"
"20,00 mill. €"
500 mil €
"15,00 mill. €"
"35,00 mill. €"
"4,00 mill. €"
"120,00 mill. €"
50 mil €
"2,50 mill. €"
-
-
-
"1,30 mill. €"
"8,00 mill. €"
250 mil €
"12,00 mill. €"
900 mil €
"3,00 mill. €"
475 mil €
"16,00 mill. €"
"8,00 mill. €"
"18,00 mill. €"
150 mil €
350 mil €
"15,00 mill. €"
450 mil €
"6,00 mill. €"
"5,00 mill. €"
-
"5,00 mill. €"
"40,00 mill. €"
200 mil €
"40,00 mill. €"
"1,00 mill. €"
"15,00 mill. €"
450 mil €
250 mil €
"1,50 mill. €"
800 mil €
"3,00 mill. €"
-
400 mil €
-
-
"2,00 mill. €"
"20,00 mill. €"
-
"2,50 mill. €"
200 mil €
"6,00 mill. €"
400 mil €
450 mil €
"15,00 mill. €"
"40,00 mill. €"
"6,00 mill. €"
800 mil €
175 mil €
"20,00 mill. €"
"3,00 mill. €"
"5,00 mill. €"
"1,10 mill. €"
-
"1,00 mill. €"
500 mil €
"15,00 mill. €"
-
0.00
"20,00 mill. €"
"25,00 mill. €"
"3,20 mill. €"
-
275 mil €
"4,00 mill. €"
-
600 mil €
"3,50 mill. €"
500 mil €
"18,00 mill. €"
-
300 mil €
"35,00 mill. €"
600 mil €
"1,50 mill. €"
"2,00 mill. €"
"1,00 mill. €"
500 mil €
"3,50 mill. €"
"6,00 mill. €"
25 mil €
300 mil €
-
150 mil €
"8,00 mill. €"
"2,50 mill. €"
"10,00 mill. €"
"8,00 mill. €"
"8,00 mill. €"
150 mil €
-
"2,50 mill. €"
125 mil €
"1,00 mill. €"
"18,00 mill. €"
-
0.00
"1,00 mill. €"
"12,00 mill. €"
-
"16,00 mill. €"
750 mil €
450 mil €
-
"25,00 mill. €"
200 mil €
"1,30 mill. €"
500 mil €
"1,00 mill. €"
"5,00 mill. €"
"2,50 mill. €"
"1,50 mill. €"
600 mil €
"8,50 mill. €"
400 mil €
"15,00 mill. €"
900 mil €
-
"1,00 mill. €"
-
-
150 mil €
800 mil €
"10,00 mill. €"
"3,50 mill. €"
"55,00 mill. €"
300 mil €
"32,00 mill. €"
-
"6,50 mill. €"
"8,00 mill. €"
"1,00 mill. €"
400 mil €
"8,00 mill. €"
"1,80 mill. €"
"40,00 mill. €"
450 mil €
"2,00 mill. €"
"12,00 mill. €"
-
-
"2,00 mill. €"
"2,00 mill. €"
"2,00 mill. €"
400 mil €
800 mil €
500 mil €
600 mil €
-
-
"60,00 mill. €"
"2,70 mill. €"
"5,00 mill. €"
"5,00 mill. €"
125 mil €
700 mil €
"15,00 mill. €"
250 mil €
800 mil €
"2,00 mill. €"
150 mil €
"15,00 mill. €"
"10,00 mill. €"
250 mil €
-
"30,00 mill. €"
"5,00 mill. €"
"5,00 mill. €"
"6,00 mill. €"
-
"1,00 mill. €"
-
"3,40 mill. €"
"3,00 mill. €"
"5,00 mill. €"
"6,00 mill. €"
"1,20 mill. €"
700 mil €
350 mil €
"2,00 mill. €"
"1,00 mill. €"
-
"3,00 mill. €"
500 mil €
-
400 mil €
200 mil €
"1,00 mill. €"
"10,00 mill. €"
250 mil €
900 mil €
"1,80 mill. €"
"25,00 mill. €"
-
"1,50 mill. €"
0.00
-
"12,00 mill. €"
"1,00 mill. €"
-
-
"1,20 mill. €"
900 mil €
150 mil €
"1,50 mill. €"
"1,20 mill. €"
"12,00 mill. €"
"3,00 mill. €"
"2,00 mill. €"
"3,00 mill. €"
-
250 mil €
200 mil €
"1,00 mill. €"
"5,00 mill. €"
"12,00 mill. €"
"1,00 mill. €"
"3,00 mill. €"
"1,20 mill. €"
200 mil €
200 mil €
"4,00 mill. €"
-
"15,00 mill. €"
-
"14,00 mill. €"
250 mil €
"15,00 mill. €"
"1,50 mill. €"
500 mil €
-
-
300 mil €
-
800 mil €
200 mil €
600 mil €
"2,00 mill. €"
"2,20 mill. €"
"15,00 mill. €"
"10,00 mill. €"
"1,50 mill. €"
-
-
-
"12,00 mill. €"
500 mil €
-
"5,00 mill. €"
"7,00 mill. €"
-
"6,00 mill. €"
200 mil €
"5,00 mill. €"
-
-
"2,00 mill. €"
"2,00 mill. €"
"2,50 mill. €"
"3,50 mill. €"
-
400 mil €
"3,00 mill. €"
"65,00 mill. €"
-
"1,20 mill. €"
600 mil €
"40,00 mill. €"
150 mil €
"12,00 mill. €"
250 mil €
"1,50 mill. €"
"10,00 mill. €"
300 mil €
"15,00 mill. €"
-
400 mil €
-
500 mil €
"3,00 mill. €"
"3,00 mill. €"
200 mil €
"3,20 mill. €"
"3,00 mill. €"
-
"32,00 mill. €"
"1,80 mill. €"
-
150 mil €
"8,00 mill. €"
600 mil €
-
"5,00 mill. €"
-
"8,00 mill. €"
200 mil €
-
-
"1,30 mill. €"
"20,00 mill. €"
150 mil €
"3,00 mill. €"
"30,00 mill. €"
50 mil €
200 mil €
-
"7,00 mill. €"
"14,00 mill. €"
"10,00 mill. €"
600 mil €
"3,50 mill. €"
"2,00 mill. €"
"18,00 mill. €"
-
"100,00 mill. €"
0.00
650 mil €
"50,00 mill. €"
"2,50 mill. €"
"5,00 mill. €"
"12,00 mill. €"
"2,70 mill. €"
-
325 mil €
500 mil €
"1,00 mill. €"
"1,50 mill. €"
400 mil €
"2,50 mill. €"
"3,00 mill. €"
"20,00 mill. €"
"10,00 mill. €"
"1,80 mill. €"
"3,00 mill. €"
"1,20 mill. €"
"3,50 mill. €"
"7,00 mill. €"
800 mil €
"1,70 mill. €"
"28,00 mill. €"
"38,00 mill. €"
"2,80 mill. €"
"1,20 mill. €"
"1,00 mill. €"
-
"18,00 mill. €"
"1,00 mill. €"
500 mil €
"4,00 mill. €"
"2,00 mill. €"
"1,50 mill. €"
800 mil €
350 mil €
-
100 mil €
0.00
"2,50 mill. €"
"2,80 mill. €"
"8,00 mill. €"
300 mil €
300 mil €
-
200 mil €
-
"2,00 mill. €"
"3,00 mill. €"
700 mil €
"2,00 mill. €"
"1,50 mill. €"
"2,50 mill. €"
175 mil €
700 mil €
250 mil €
"3,50 mill. €"
"2,80 mill. €"
450 mil €
"40,00 mill. €"
"50,00 mill. €"
100 mil €
800 mil €
"6,00 mill. €"
275 mil €
"8,00 mill. €"
"4,00 mill. €"
"2,00 mill. €"
"15,00 mill. €"
"20,00 mill. €"
"7,00 mill. €"
"1,50 mill. €"
"20,00 mill. €"
-
-
"20,00 mill. €"
"3,00 mill. €"
"1,80 mill. €"
300 mil €
"25,00 mill. €"
"20,00 mill. €"
