,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
0,Abner,BRA,Defensa,Betis,22,2000,13,7,607,0,0,0,2,0,1.7,0.1
1,Álvaro Aceves,ESP,PO,Valladolid,19,2003,1,0,13,0,0,0,0,0,0.0,0.0
2,Marcos Acuña,ARG,Defensa,Sevilla,30,1991,30,21,1912,3,2,5,10,3,1.2,4.3
3,Julen Agirrezabala,ESP,PO,Athletic Club,21,2000,8,7,675,0,0,0,0,0,0.0,0.0
4,Álvaro Aguado,ESP,Centrocampista,Valladolid,26,1996,34,18,1888,1,2,3,4,0,1.0,2.2
5,Joseph Aidoo,GHA,Defensa,Celta Vigo,26,1995,35,35,3119,3,0,3,6,1,1.0,0.1
6,Sergio Akieme,ESP,Defensa,Almería,24,1997,29,27,2297,1,0,1,5,0,1.5,2.0
7,Paul Akouokou,CIV,Centrocampista,Betis,24,1997,12,3,447,0,0,0,3,0,0.2,0.0
8,David Alaba,AUT,Defensa,Real Madrid,30,1992,23,21,1838,1,3,4,3,0,0.8,1.1
9,Tomás Alarcón,CHI,Centrocampista,Cádiz,23,1999,4,2,223,0,0,0,2,1,0.0,0.1
10,Jordi Alba,ESP,Defensa,Barcelona,33,1989,24,14,1419,2,3,5,6,1,0.8,6.2
11,Raúl Albiol,ESP,Defensa,Villarreal,36,1985,25,24,2119,0,0,0,6,0,0.1,0.0
12,Rubén Alcaraz,ESP,Centrocampista,Cádiz,31,1991,31,22,2043,3,0,3,11,1,4.0,1.3
13,Omar Alderete,PAR,Defensa,Getafe,25,1996,25,23,2047,1,1,2,9,0,0.6,0.8
14,Iván Alejo,ESP,Centrocampista,Cádiz,27,1995,31,13,1311,0,1,1,13,1,1.2,2.4
15,Carles Aleñá,ESP,Centrocampista,Getafe,24,1998,35,26,2119,2,2,4,12,1,2.3,1.6
16,Alejandro Alfaro,ESP,Centrocampista,Elche,20,2002,1,0,15,0,0,0,0,0,0.0,0.0
17,Ángel Algobia,ESP,Centrocampista,Getafe,23,1999,26,11,1138,0,0,0,3,0,0.3,0.6
18,Mohamed Ali Cho,FRA,Delantero,Real Sociedad,18,2004,19,5,587,1,2,3,1,0,1.8,1.6
19,Domingos André Ribeiro Almeida,POR,Centrocampista,Valencia,22,2000,34,29,2539,2,4,6,3,0,1.4,3.4
20,Marcos Alonso,ESP,Defensa,Barcelona,31,1990,24,11,1172,1,0,1,3,0,0.9,0.3
21,Carlos Álvarez,ESP,Centrocampista,Sevilla,18,2003,1,0,10,0,0,0,1,0,0.0,0.0
22,Gastón Álvarez,URU,Defensa,Getafe,22,2000,22,16,1501,2,0,2,7,1,0.5,0.2
23,Yeray Álvarez,ESP,Defensa,Athletic Club,27,1995,28,27,2332,1,1,2,7,1,0.8,1.1
24,Selim Amallah,MAR,Centrocampista,Valladolid,25,1996,7,3,267,2,1,3,2,1,0.9,0.3
25,Amath,SEN,Centrocampista,Mallorca,26,1996,28,12,1227,2,0,2,2,1,2.7,0.8
26,Jordan Amavi,FRA,Defensa,Getafe,28,1994,5,1,200,0,0,0,2,1,0.0,0.0
27,Marcos André,BRA,Delantero,Valencia,25,1996,17,3,447,1,0,1,2,1,1.5,0.4
28,Fabrizio Angileri,ARG,Defensa,Getafe,28,1994,15,7,585,0,0,0,2,1,0.1,0.0
29,Josep Antoni Gayá,ESP,Defensa,Mallorca,22,2000,2,1,98,0,0,0,0,0,0.0,0.0
30,José Antonio,ESP,Centrocampista,Cádiz,18,2004,2,0,46,0,1,1,0,0,0.0,0.0
31,Anuar,MAR,Centrocampista,Valladolid,27,1995,3,3,210,1,0,1,1,0,0.3,0.4
32,Mauro Arambarri,URU,Centrocampista,Getafe,26,1995,13,13,992,0,1,1,5,1,0.2,1.5
33,Ronald Araújo,URU,Defensa,Barcelona,23,1999,22,21,1800,0,2,2,5,1,2.1,0.8
34,Adu Ares,ESP,Delantero,Athletic Club,20,2001,8,0,84,0,0,0,0,0,0.1,0.2
35,Sergio Arribas,ESP,Centrocampista,Real Madrid,20,2001,2,0,19,0,0,0,0,0,0.2,0.0
36,Roberto Arroyo,ESP,Centrocampista,Valladolid,18,2003,1,0,15,0,0,0,0,0,0.0,0.0
37,Ricard Artero,ESP,Centrocampista,Girona,19,2003,7,0,133,0,0,0,0,0,0.5,0.0
38,Santiago Arzamendia,PAR,Defensa,Cádiz,24,1998,12,5,483,0,0,0,0,0,0.2,0.5
39,Sergio Asenjo,ESP,PO,Valladolid,33,1989,10,10,900,0,0,0,0,0,0.0,0.0
40,Marco Asensio,ESP,Delantero,Real Madrid,26,1996,31,15,1442,9,6,15,1,0,6.3,4.9
41,Iago Aspas,ESP,Delantero,Celta Vigo,34,1987,37,31,2868,12,3,15,6,0,11.1,5.6
42,Pierre-Emerick Aubameyang,GAB,Delantero,Barcelona,33,1989,1,0,9,0,0,0,0,0,0.1,0.0
43,Ludwig Augustinsson,SWE,Defensa,Mallorca,28,1994,4,1,132,0,0,0,0,0,0.0,0.0
44,Ezequiel Ávila,ARG,Delantero,Osasuna,28,1994,29,23,1709,8,2,10,7,1,6.7,1.7
45,Iddrisu Baba,GHA,Centrocampista,Mallorca,26,1996,29,20,1705,0,0,0,5,0,0.6,0.2
46,Loïc Bade,FRA,Defensa,Sevilla,22,2000,19,16,1449,1,0,1,4,0,0.3,0.1
47,Édgar Badía,ESP,PO,Elche,30,1992,36,36,3240,0,0,0,2,0,0.0,0.0
48,Alex Baena,ESP,Centrocampista,Villarreal,21,2001,35,19,1947,6,2,8,13,1,3.9,5.2
49,Alejandro Balde,ESP,Defensa,Barcelona,18,2003,33,30,2471,1,6,7,4,0,1.9,4.9
50,Mikel Balenziaga,ESP,Defensa,Athletic Club,34,1988,3,1,115,0,0,0,0,0,0.0,0.0
51,Iván Balliu,ALB,Defensa,Rayo Vallecano,30,1992,37,37,3232,0,0,0,6,0,0.3,2.8
52,Léo Baptistão,BRA,Delantero,Almería,29,1992,28,24,1726,5,1,6,7,0,4.9,1.2
53,Keidi Bare,ALB,Centrocampista,Espanyol,24,1997,18,4,503,0,1,1,0,0,0.6,0.2
54,Kike Barja,ESP,Delantero,Osasuna,25,1997,27,15,1312,1,6,7,1,0,1.2,3.9
55,Ander Barrenetxea,ESP,Delantero,Real Sociedad,20,2001,23,9,878,3,1,4,4,0,3.0,1.2
56,Pablo Barrios,ESP,Centrocampista,Atlético Madrid,19,2003,21,6,724,0,1,1,4,0,0.5,0.7
