Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
0,Abner,BRA,Defensa,Betis,23,2000,9,5,522,0,0,0,2,0,0.1,0.4,"2,50 mill. €"
1,Abdel Abqar,MAR,Defensa,Alavés,24,1999,11,11,989,0,0,0,3,0,0.2,0.0,"8,00 mill. €"
2,Marcos Acuña,ARG,Defensa,Sevilla,32,1991,7,6,411,0,0,0,2,0,0.1,0.3,"3,50 mill. €"
3,Joseph Aidoo,GHA,Defensa,Celta Vigo,28,1995,6,4,407,0,0,0,0,0,0.1,0.1,"3,00 mill. €"
4,Ilias Akhomach,ESP,Centrocampista,Villarreal,19,2004,10,2,346,0,1,1,2,0,0.1,0.4,"1,20 mill. €"
5,Sergio Akieme,ESP,Defensa,Almería,25,1997,11,11,990,2,0,2,1,0,1.1,1.0,"2,00 mill. €"
6,Paul Akouokou,CIV,Centrocampista,Betis,25,1997,2,0,27,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
7,David Alaba,AUT,Defensa,Real Madrid,31,1992,11,11,940,0,1,1,2,0,0.9,0.7,"40,00 mill. €"
8,Raúl Albiol,ESP,Defensa,Villarreal,38,1985,12,11,976,0,0,0,3,0,0.4,0.3,"7,00 mill. €"
9,Rubén Alcaraz,ESP,Centrocampista,Cádiz,32,1991,12,12,990,0,0,0,6,0,0.4,0.1,"6,00 mill. €"
10,Omar Alderete,PAR,Defensa,Getafe,26,1996,9,6,569,0,1,1,3,0,0.2,0.1,"1,40 mill. €"
11,Iván Alejo,ESP,Centrocampista,Cádiz,28,1995,12,10,748,0,0,0,6,0,0.0,0.3,"3,00 mill. €"
12,Carles Aleñá,ESP,Centrocampista,Getafe,25,1998,13,7,563,1,1,2,4,0,1.0,1.0,"2,00 mill. €"
13,Mohamed Ali Cho,FRA,Delantero,Real Sociedad,19,2004,11,1,249,0,0,0,0,0,0.4,0.1,"2,50 mill. €"
14,Domingos André Ribeiro Almeida,POR,Delantero,Valencia,23,2000,8,6,479,0,1,1,0,0,0.2,0.7,"1,20 mill. €"
15,Marcos Alonso,ESP,Defensa,Barcelona,32,1990,4,2,162,0,0,0,0,0,0.1,0.5,"6,00 mill. €"
16,Adrià Altimira,ESP,Defensa,Villarreal,22,2001,5,4,348,0,0,0,0,0,0.0,0.1,"1,00 mill. €"
17,Sergi Altimira,ESP,Centrocampista,Betis,22,2001,3,1,94,0,0,0,0,0,0.0,0.0,"10,00 mill. €"
18,Gastón Álvarez,URU,Defensa,Getafe,23,2000,12,11,993,1,0,1,3,0,0.3,0.4,"12,00 mill. €"
19,Yeray Álvarez,ESP,Defensa,Athletic Club,28,1995,5,2,185,0,0,0,1,0,0.1,0.1,"20,00 mill. €"
20,Selim Amallah,MAR,Centrocampista,Valencia,27,1996,9,5,374,0,1,1,4,1,0.3,0.2,"1,50 mill. €"
21,Amath,SEN,Delantero,Mallorca,27,1996,10,2,277,0,0,0,1,0,1.5,0.0,"5,00 mill. €"
22,Miguel Ángel Rubio,ESP,Defensa,Granada,25,1998,7,6,559,1,0,1,1,0,0.5,0.0,"3,00 mill. €"
23,Fabrizio Angileri,ARG,Defensa,Getafe,29,1994,4,1,76,0,0,0,1,1,0.0,0.2,"1,50 mill. €"
