Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Aaron Connolly,IRL,Delantero,Brighton,21,2000.0,15.0,8.0,735.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.0,2.8000000000000003,0.26666666666666666,3500000.0
Aaron Cresswell,ENG,Defensa,West Ham,33,1989.0,25.6,24.6,2188.6,1.0,2.4,3.4,3.2,0.0,0.76,3.34,1200000.0
Aaron Hickey,SCO,Defensa,Brentford,21,2002.0,20.5,19.0,1551.75,1.25,0.5,1.75,5.5,0.25,0.4,0.6,30000000.0
Aaron Ramsdale,ENG,PO,Arsenal,25,1998.0,30.4,30.4,2736.0,0.0,0.2,0.2,0.6,0.0,0.0,0.15999999999999998,32000000.0
Aaron Ramsey,ENG,Delantero,Burnley,30,1993.25,14.0,6.75,619.0,1.25,1.25,2.5,1.0,0.0,1.7,1.225,2500000.0
Aaron Wan-Bissaka,ENG,Defensa,Manchester Utd,26,1997.0,23.0,21.8,1960.8,0.4,1.8,2.2,3.4,0.0,0.6199999999999999,1.6600000000000001,25000000.0
Aarón Escandell,ESP,PO,Granada,25,1995.0,4.0,3.6666666666666665,334.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1000000.0
Aarón Martín,ESP,Defensa,Espanyol,26,1997.0,19.333333333333332,17.666666666666668,1567.3333333333333,0.0,1.0,1.0,3.0,0.3333333333333333,0.10000000000000002,1.2999999999999998,7000000.0
Abdallahi Mahmoud,MTN,Centrocampista,Alavés,20,2000.0,2.5,1.0,109.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,500000.0
Abdel Abqar,MAR,Defensa,Alavés,24,1999.0,11.0,11.0,989.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,1400000.0
Abdelhamid Sabiri,MAR,Centrocampista,Sampdoria,25,1996.0,16.0,10.5,981.0,2.5,1.0,3.5,4.0,0.0,2.2,1.5,2500000.0
Abderrahman Rebbach,ALG,Delantero,Alavés,25,1998.0,11.0,2.0,297.0,1.0,0.0,1.0,0.0,0.0,0.4,0.7,500000.0
Abdessamad Ezzalzouli,MAR,Delantero,Barcelona,21,2001.0,12.5,6.5,614.75,1.5,0.5,2.0,2.0,0.5,1.2,0.775,15000000.0
Abdou Harroui,NED,Centrocampista,Frosinone,25,1998.0,16.0,3.6666666666666665,451.3333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,1.1666666666666667,0.20000000000000004,2700000.0
Abdoulay Diaby,MLI,Defensa,Getafe,29,1991.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,1200000.0
Abdoulaye Ba,SEN,Defensa,Rayo Vallecano,27,1991.0,26.0,25.0,2110.0,1.0,0.0,1.0,4.0,2.0,1.3,0.1,300000.0
Abdoulaye Doucouré,MLI,Delantero,Everton,30,1993.0,26.8,24.8,2158.8,3.4,2.2,5.6,6.2,0.2,3.3,2.4,12000000.0
Abdoulaye Touré,GUI,Centrocampista,Genoa,27,1994.0,8.0,6.0,430.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1200000.0
Abdul Mumin,GHA,Defensa,Rayo Vallecano,25,1998.0,11.0,7.0,678.0,0.5,0.0,0.5,1.5,0.5,0.2,0.0,1500000.0
Abdón Prats,ESP,Delantero,Mallorca,30,1992.0,20.0,3.75,459.5,2.25,0.5,2.75,1.25,0.0,1.3,0.7749999999999999,2000000.0
Abel Ruiz,ESP,Delantero,Barcelona,18,2000.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,14000000.0
Abner,BRA,Defensa,Betis,23,2000.0,11.0,6.0,564.5,0.0,0.0,0.0,2.0,0.0,0.9,0.25,7000000.0
Aboubakar Kamara,MTN,Delantero,Fulham,25,1995.0,11.0,2.0,315.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3,2500000.0
Achraf Hakimi,MAR,Defensa,Real Madrid,21,1998.0,23.0,18.5,1711.0,4.5,4.0,8.5,3.0,0.0,2.5,3.25,65000000.0
Adalberto Peñaranda,VEN,Delantero,Málaga,20,1997.0,13.0,11.0,802.0,0.0,0.0,0.0,3.0,0.0,0.7,0.4,400000.0
Adam Armstrong,ENG,Delantero,Southampton,25,1997.0,26.5,15.5,1374.0,2.0,1.5,3.5,1.5,0.0,3.3,1.4500000000000002,14000000.0
Adam Forshaw,ENG,Centrocampista,Leeds United,30,1991.0,17.0,11.0,1004.5,0.0,0.5,0.5,2.5,0.0,0.25,0.95,1200000.0
Adam Idah,IRL,Delantero,Norwich City,20,2001.0,14.5,3.5,426.5,0.5,0.5,1.0,0.0,0.0,1.65,0.3,2000000.0
Adam Lallana,ENG,Centrocampista,Brighton,35,1988.0,18.6,10.8,913.4,0.8,0.8,1.6,1.2,0.0,0.8800000000000001,1.1199999999999999,1200000.0
Adam Marušić,MNE,Defensa,Lazio,31,1992.0,26.0,23.4,2096.4,1.0,1.2,2.2,4.2,0.4,1.0,0.9,8000000.0
Adam Masina,MAR,Defensa,Watford,28,1994.0,18.333333333333332,13.666666666666666,1229.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.43333333333333335,0.49999999999999994,2500000.0
Adam Obert,SVK,Defensa,Cagliari,21,2002.0,7.0,3.5,326.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,1800000.0
Adam Ounas,ALG,Delantero,Napoli,25,1996.0,9.75,4.75,462.0,1.0,1.0,2.0,0.5,0.0,0.975,1.1500000000000001,7000000.0
Adam Smith,ENG,Defensa,Bournemouth,32,1991.0,22.0,20.0,1736.6666666666667,0.0,1.0,1.0,6.0,0.0,0.43333333333333335,0.9333333333333335,1200000.0
Adam Webster,ENG,Defensa,Brighton,28,1995.0,23.0,21.0,1844.2,1.2,0.2,1.4,3.2,0.0,1.24,0.34,25000000.0
Adama Soumaoro,FRA,Defensa,Bologna,30,1992.0,19.75,18.5,1631.25,0.5,0.0,0.5,4.25,0.75,0.7499999999999999,0.05,3000000.0
Adama Traoré,ESP,Delantero,Fulham,27,1996.0,23.833333333333332,13.5,1373.8333333333333,1.5,2.3333333333333335,3.8333333333333335,1.1666666666666667,0.0,1.8499999999999996,2.9,10000000.0
Ademola Lookman,NGA,Delantero,Leicester City,26,1997.0,26.0,19.25,1667.0,6.75,3.0,9.75,3.0,0.0,5.75,3.675,30000000.0
Adnan Januzaj,BEL,Delantero,Real Sociedad,28,1995.0,19.428571428571427,10.571428571428571,960.5714285714286,2.0,2.2857142857142856,4.285714285714286,2.142857142857143,0.0,2.814285714285714,2.6285714285714286,4000000.0
Adolfo Gaich,ARG,Delantero,Hellas Verona,23,1999.0,15.5,8.5,747.0,2.0,0.0,2.0,1.5,0.0,2.65,0.4,1800000.0
Adri Bosch,ESP,Defensa,Granada,22,2001.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adri Embarba,ESP,Centrocampista,Rayo Vallecano,31,1992.0,21.5,16.166666666666668,1339.3333333333333,1.8333333333333333,2.5,4.333333333333333,3.3333333333333335,0.3333333333333333,2.9166666666666665,3.1333333333333333,0.0
Adrian Mariappa,JAM,Defensa,Watford,32,1986.0,20.0,15.0,1513.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,100000.0
Adrian Šemper,CRO,PO,Genoa,23,1998.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0
Adrien Rabiot,FRA,Centrocampista,Juventus,28,1995.0,27.6,23.4,2067.6,2.8,2.2,5.0,6.6,0.4,2.84,1.7,40000000.0
Adrien Silva,POR,Centrocampista,Sampdoria,32,1989.0,20.5,15.0,1341.0,0.5,1.0,1.5,5.5,1.0,0.4,0.6000000000000001,1000000.0
Adrien Tameze,CMR,Defensa,Torino,29,1994.0,25.2,20.0,1780.8,1.0,0.8,1.8,3.2,0.0,0.68,0.8999999999999998,6000000.0
Adrià Altimira,ESP,Defensa,Villarreal,22,2001.0,5.0,4.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1000000.0
Adrià Pedrosa,ESP,Defensa,Espanyol,25,1998.0,16.2,11.6,1096.2,0.6,0.6,1.2,2.6,0.0,0.62,0.86,5000000.0
Adrián Butzke,ESP,Delantero,Granada,22,1999.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0
Adrián Diéguez,ESP,Defensa,Alavés,22,1996.0,7.5,7.0,592.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,600000.0
Adrián Guerrero,ESP,Defensa,Valencia,21,1998.0,2.0,1.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000000.0
Adrián Marín,ESP,Defensa,Villarreal,23,1997.0,7.0,3.4,347.4,0.0,0.2,0.2,1.0,0.0,0.24000000000000005,0.1,1500000.0
Adrián Ramos,COL,Delantero,Granada,33,1986.0,7.0,2.0,226.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,300000.0
Adu Ares,ESP,Delantero,Athletic Club,22,2001.0,5.0,0.0,54.5,0.0,0.0,0.0,0.5,0.0,0.05,0.1,500000.0
Ager Aketxe,ESP,Centrocampista,Athletic Club,23,1993.0,3.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1000000.0
Agustín Marchesín,ARG,PO,Celta Vigo,34,1988.0,19.0,19.0,1710.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1500000.0
Agustín Martegani,ARG,Centrocampista,Salernitana,23,2000.0,9.0,3.0,400.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,2000000.0
