,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
0,Aly Abeid,MTN,Defensa,Levante,19,1997,1,1,77,0,0,0,0,0,0.0,0.1,2017-2018
1,Antonio Adán,ESP,PO,Betis,30,1987,30,30,2700,0,2,2,4,0,0.0,0.7,2017-2018
2,Aday,ESP,Defensa,Girona,29,1987,31,20,1835,2,0,2,10,0,2.8,1.6,2017-2018
3,Aritz Aduriz,ESP,Delantero,Athletic Club,36,1981,33,21,2152,9,1,10,5,0,11.1,1.5,2017-2018
4,Martin Agirregabiria,ESP,Defensa,Alavés,21,1996,21,20,1828,0,4,4,4,0,0.1,1.5,2017-2018
5,Imanol Agirretxe,ESP,Delantero,Real Sociedad,30,1987,11,2,232,0,0,0,0,0,1.2,0.0,2017-2018
6,Matías Aguirregaray,URU,Defensa,Las Palmas,28,1989,15,14,1153,0,0,0,3,0,0.6,0.6,2017-2018
7,Ager Aketxe,ESP,Centrocampista,Athletic Club,23,1993,3,0,37,0,0,0,1,0,0.1,0.0,2017-2018
8,David Alba,ESP,Defensa,Getafe,18,1999,1,1,61,0,0,0,0,0,0.0,0.0,2017-2018
9,Jordi Alba,ESP,Defensa,Barcelona,28,1989,33,30,2744,2,8,10,7,0,2.1,6.1,2017-2018
10,Raúl Albentosa,ESP,Defensa,La Coruña,28,1988,20,19,1748,1,0,1,5,0,1.5,0.2,2017-2018
11,Paco Alcácer,ESP,Centrocampista,Barcelona,23,1993,17,8,695,4,3,7,0,0,3.9,2.1,2017-2018
12,Pedro Alcalá,ESP,Defensa,Girona,28,1989,8,8,689,1,0,1,4,0,1.0,0.2,2017-2018
13,Steve Aldo One,CMR,Defensa,La Coruña,22,1995,1,1,90,0,0,0,0,0,0.0,0.0,2017-2018
14,Álex Alegría,ESP,Delantero,Levante,24,1992,9,8,628,0,0,0,1,0,1.1,0.2,2017-2018
15,Iván Alejo,ESP,Centrocampista,Eibar,22,1995,22,14,1102,1,3,4,5,0,0.5,2.1,2017-2018
16,Alexander,ARG,Centrocampista,Leganés,28,1988,13,13,1060,2,2,4,1,0,2.2,2.5,2017-2018
17,Alexis,ESP,Defensa,Alavés,31,1985,28,25,2184,1,0,1,6,0,1.2,0.3,2017-2018
18,José Alonso Lara,ESP,Centrocampista,Sevilla,17,2000,1,0,10,0,0,0,0,0,0.0,0.0,2017-2018
19,Sergio Álvarez,ESP,PO,Celta Vigo,30,1986,17,16,1476,0,0,0,0,0,0.0,0.1,2017-2018
20,Yeray Álvarez,ESP,Defensa,Athletic Club,22,1995,8,7,675,0,0,0,2,0,0.1,0.1,2017-2018
21,Eloi Amagat,ESP,Centrocampista,Girona,32,1985,2,0,15,0,0,0,0,0,0.2,0.0,2017-2018
22,Jordi Amat,IDN,Defensa,Betis,25,1992,25,24,2045,0,0,0,7,2,0.4,0.1,2017-2018
23,Amath,SEN,Centrocampista,Getafe,21,1996,37,36,2859,3,3,6,9,0,4.4,2.7,2017-2018
24,Nordin Amrabat,MAR,Delantero,Leganés,30,1987,30,17,1623,2,4,6,6,1,3.7,3.2,2017-2018
25,Jon Ander Serantes,ESP,PO,Leganés,27,1989,1,1,90,0,0,0,0,0,0.0,0.0,2017-2018
26,Florin Andone,ROU,Delantero,La Coruña,24,1993,29,16,1636,7,3,10,6,0,11.4,0.9,2017-2018
27,Miguel Ángel Guerrero,ESP,Delantero,Leganés,27,1990,22,15,1442,4,3,7,3,0,5.7,1.5,2017-2018
28,José Ángel,ESP,Defensa,Eibar,27,1989,30,28,2426,0,8,8,4,0,0.5,4.1,2017-2018
29,Miguel Ángel Moyá,ESP,PO,Real Sociedad,33,1984,9,9,764,0,0,0,0,0,0.0,0.0,2017-2018
30,Miguel Ángel Rubio,ESP,Defensa,Getafe,19,1998,1,0,29,0,0,0,0,0,0.0,0.0,2017-2018
31,Vitorino Antunes,POR,Defensa,Getafe,30,1987,34,31,2799,0,2,2,14,0,1.7,3.4,2017-2018
32,Alberto Aquilani,ITA,Centrocampista,Las Palmas,33,1984,21,15,1297,0,0,0,4,0,0.7,0.5,2017-2018
33,Mauro Arambarri,URU,Centrocampista,Getafe,21,1995,27,26,2124,1,1,2,9,1,1.6,1.9,2017-2018
34,Guilherme Arana,BRA,Defensa,Sevilla,20,1997,3,2,193,0,0,0,0,0,0.0,0.0,2017-2018
