,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
0,Patrick van Aanholt,NED,Defensa,Crystal Palace,26,1990,28,25,2184,5,1,6,7,0,3.1,2.1,2017-2018
1,Rolando Aarons,ENG,Centrocampista,Newcastle Utd,21,1995,4,1,139,0,0,0,0,0,0.1,0.0,2017-2018
2,Tammy Abraham,ENG,Delantero,Swansea City,19,1997,31,15,1726,5,1,6,0,0,6.8,1.6,2017-2018
3,Charlie Adam,SCO,Centrocampista,Stoke City,31,1985,11,5,411,0,0,0,2,1,1.6,1.2,2017-2018
4,Adrián,ESP,PO,West Ham,30,1987,19,19,1710,0,0,0,2,0,0.0,0.0,2017-2018
5,Ibrahim Afellay,NED,Centrocampista,Stoke City,31,1986,6,1,166,0,0,0,1,0,0.0,0.0,2017-2018
6,Benik Afobe,COD,Delantero,Bournemouth,24,1993,17,5,611,0,0,0,0,0,1.6,0.1,2017-2018
7,Sergio Agüero,ARG,Delantero,Manchester City,29,1988,25,22,1963,21,6,27,2,0,16.2,5.6,2017-2018
8,Nathan Aké,NED,Defensa,Bournemouth,22,1995,38,37,3353,2,3,5,5,0,1.4,1.9,2017-2018
9,Marc Albrighton,ENG,Centrocampista,Leicester City,27,1989,34,30,2538,2,7,9,5,1,1.6,5.7,2017-2018
10,Toby Alderweireld,BEL,Defensa,Tottenham,28,1989,14,13,1178,0,0,0,3,0,0.4,0.1,2017-2018
11,Trent Alexander-Arnold,ENG,Defensa,Liverpool,18,1998,19,18,1573,1,1,2,3,0,1.0,2.6,2017-2018
12,Joe Allen,WAL,Centrocampista,Stoke City,27,1990,36,36,3139,2,6,8,8,0,1.8,2.8,2017-2018
13,Dele Alli,ENG,Centrocampista,Tottenham,21,1996,36,34,2958,9,10,19,7,0,9.1,8.2,2017-2018
14,Marcos Alonso,ESP,Defensa,Chelsea,26,1990,33,33,2855,7,2,9,6,0,4.1,2.8,2017-2018
15,Daniel Amartey,GHA,Defensa,Leicester City,22,1994,8,6,487,0,0,0,1,2,0.0,0.0,2017-2018
16,Ethan Ampadu,WAL,Defensa,Chelsea,16,2000,1,0,11,0,0,0,0,0,0.0,0.0,2017-2018
17,Nordin Amrabat,MAR,Delantero,Watford,30,1987,3,3,198,0,0,0,0,0,0.1,0.1,2017-2018
18,Michail Antonio,JAM,Delantero,West Ham,27,1990,21,16,1354,3,1,4,1,0,2.4,1.0,2017-2018
19,Scott Arfield,CAN,Centrocampista,Burnley,28,1988,18,15,1333,2,1,3,3,0,1.3,0.4,2017-2018
20,Marko Arnautović,AUT,Delantero,West Ham,28,1989,31,28,2313,11,6,17,5,1,8.6,4.3,2017-2018
21,Harry Arter,IRL,Centrocampista,Bournemouth,27,1989,13,11,960,1,0,1,4,0,0.3,0.2,2017-2018
22,Christian Atsu,GHA,Delantero,Newcastle Utd,25,1992,28,19,1784,2,2,4,1,0,4.0,2.6,2017-2018
23,Pierre-Emerick Aubameyang,GAB,Delantero,Arsenal,28,1989,13,12,1057,10,4,14,0,0,8.4,1.1,2017-2018
24,Serge Aurier,CIV,Defensa,Tottenham,24,1992,17,16,1429,2,2,4,2,2,0.8,2.6,2017-2018
25,Charlie Austin,ENG,Delantero,Southampton,28,1989,24,10,1037,7,0,7,2,0,7.1,0.8,2017-2018
26,André Ayew,GHA,Centrocampista,West Ham,27,1989,18,9,895,3,2,5,2,0,3.3,0.3,2017-2018
27,André Ayew,GHA,Centrocampista,Swansea City,27,1989,12,10,950,0,2,2,3,0,1.9,1.3,2017-2018
28,Jordan Ayew,GHA,Delantero,Swansea City,25,1991,36,33,2852,7,2,9,2,1,7.3,2.0,2017-2018
29,César Azpilicueta,ESP,Defensa,Chelsea,27,1989,37,37,3330,2,6,8,1,0,1.3,4.8,2017-2018
30,Eric Bailly,CIV,Defensa,Manchester Utd,23,1994,13,11,1001,1,0,1,2,0,1.1,0.2,2017-2018
31,Leighton Baines,ENG,Defensa,Everton,32,1984,22,22,1909,2,3,5,1,0,2.1,1.9,2017-2018
32,Tiemoué Bakayoko,FRA,Centrocampista,Chelsea,22,1994,29,24,2126,2,2,4,4,2,3.2,1.2,2017-2018
33,Sam Baldock,ENG,Delantero,Brighton,28,1989,2,0,32,0,0,0,0,0,0.0,0.0,2017-2018
34,Beni Baningime,COD,Centrocampista,Everton,18,1998,8,1,198,0,0,0,1,0,0.0,0.0,2017-2018
35,Phil Bardsley,SCO,Defensa,Burnley,32,1985,13,13,1125,0,0,0,5,0,0.0,0.3,2017-2018
