,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
0,Rolando Aarons,ENG,Centrocampista,Hellas Verona,21,1995,11,6,517,0,0,0,0,0,0.2,0.2
1,Ignazio Abate,ITA,Defensa,Milan,30,1986,17,11,1057,1,0,1,3,0,0.2,0.5
2,Francesco Acerbi,ITA,Defensa,Sassuolo,29,1988,38,38,3420,0,0,0,4,0,1.0,0.7
3,Afriyie Acquah,GHA,Centrocampista,Torino,25,1992,22,9,951,1,0,1,4,2,0.4,0.6
4,Claud Adjapong,ITA,Defensa,Sassuolo,19,1998,16,14,1220,0,0,0,5,1,0.8,1.1
5,Ali Adnan Kadhim,IRQ,Defensa,Udinese,23,1993,23,18,1674,0,1,1,4,0,0.5,1.7
6,Arlind Ajeti,ALB,Defensa,Crotone,23,1993,21,15,1271,0,1,1,7,0,0.9,1.0
7,Luis Alberto,ESP,Delantero,Lazio,24,1992,34,32,2669,11,14,25,5,0,7.2,11.8
8,Raúl Albiol,ESP,Defensa,Napoli,31,1985,31,30,2742,3,1,4,7,0,1.4,1.3
9,Alisson,BRA,PO,Roma,24,1992,37,37,3330,0,0,0,1,0,0.0,0.0
10,Allan,BRA,Centrocampista,Napoli,26,1991,38,32,2850,4,5,9,2,0,3.8,3.6
11,Ricky Álvarez,ARG,Centrocampista,Sampdoria,29,1988,12,2,267,1,1,2,0,0,0.4,0.5
12,Joachim Andersen,DEN,Defensa,Sampdoria,21,1996,7,6,546,0,0,0,0,0,0.1,0.0
13,Felipe Anderson,BRA,Delantero,Lazio,24,1993,21,9,1162,4,6,10,0,0,2.8,4.3
14,Nícolas Andrade,BRA,PO,Hellas Verona,29,1988,36,36,3240,0,0,0,2,1,0.0,0.1
15,Marco Andreolli,ITA,Defensa,Cagliari,31,1986,23,20,1829,0,0,0,5,0,0.2,0.0
16,Gabriele Angella,ITA,Defensa,Udinese,28,1989,12,9,893,0,0,0,3,0,0.3,0.0
17,Cristian Ansaldi,ARG,Defensa,Torino,30,1986,25,20,1872,1,3,4,6,2,0.7,3.6
18,Luca Antei,ITA,Defensa,Benevento,25,1992,8,8,592,0,0,0,1,1,0.1,0.0
19,Mirco Antenucci,ITA,Delantero,SPAL,32,1984,33,28,2571,11,4,15,1,0,8.1,3.5
20,Luca Antonelli,ITA,Defensa,Milan,30,1987,6,1,144,0,0,0,1,0,0.0,0.0
21,Mirko Antonucci,ITA,Delantero,Roma,18,1999,2,0,31,0,1,1,0,0,0.6,0.4
22,Samuel Armenteros,SWE,Delantero,Benevento,27,1990,9,5,429,1,0,1,1,0,1.4,0.0
23,Kwadwo Asamoah,GHA,Defensa,Juventus,28,1988,19,18,1568,0,0,0,4,0,0.2,0.7
24,Davide Astori,ITA,Defensa,Fiorentina,30,1987,25,25,2250,1,1,2,5,0,1.0,0.3
25,Felipe Avenatti,URU,Delantero,Bologna,24,1993,11,4,468,0,0,0,1,0,0.3,0.1
26,Khouma Babacar,SEN,Delantero,Fiorentina,24,1993,16,1,448,4,1,5,1,0,3.9,1.1
27,Khouma Babacar,SEN,Delantero,Sassuolo,24,1993,13,8,750,2,1,3,0,0,3.5,1.0
28,Milan Badelj,CRO,Centrocampista,Fiorentina,28,1989,27,27,2351,2,1,3,9,2,2.0,2.8
29,Riad Bajić,BIH,Delantero,Udinese,23,1994,5,0,80,0,0,0,0,0,0.2,0.2
30,Andrija Balić,CRO,Centrocampista,Udinese,19,1997,21,11,1083,0,1,1,2,0,0.8,0.6
31,Mattia Bani,ITA,Defensa,Chievo,23,1993,16,15,1317,0,0,0,5,1,0.3,0.0
32,Antonín Barák,CZE,Centrocampista,Udinese,22,1994,34,31,2713,7,3,10,5,0,2.8,3.3
33,Andrea Barberis,ITA,Centrocampista,Crotone,23,1993,38,34,3029,2,1,3,1,0,1.5,3.1
34,Nicolò Barella,ITA,Centrocampista,Cagliari,20,1997,34,34,2955,6,2,8,14,2,3.6,1.9
35,Antonio Barreca,ITA,Defensa,Torino,22,1995,9,3,468,0,0,0,0,1,0.0,0.1
36,Édgar Barreto,PAR,Centrocampista,Sampdoria,33,1984,28,24,1965,1,2,3,5,2,1.3,1.6
37,Musa Barrow,GAM,Delantero,Atalanta,18,1998,12,5,443,3,1,4,0,0,2.1,1.2
38,Andrea Barzagli,ITA,Defensa,Juventus,36,1981,25,14,1447,0,1,1,2,0,0.0,0.4
39,Daniele Baselli,ITA,Centrocampista,Torino,25,1992,32,30,2521,4,0,4,13,2,3.8,1.5
40,Dušan Basta,SRB,Defensa,Lazio,32,1984,11,9,775,0,1,1,0,0,0.5,0.2
41,Gil Bastião Dias,POR,Delantero,Fiorentina,20,1996,27,9,1190,2,3,5,1,0,1.8,1.1
42,Samuel Bastien,COD,Centrocampista,Chievo,20,1996,21,15,1355,1,0,1,3,2,0.9,0.3
43,Alessandro Bastoni,ITA,Defensa,Atalanta,18,1999,4,0,91,0,0,0,0,0,0.0,0.1
44,Bastos,ANG,Defensa,Lazio,26,1991,21,16,1407,4,0,4,4,0,2.9,0.2
45,Enrico Bearzotti,ITA,Defensa,Hellas Verona,20,1996,6,4,410,0,0,0,0,0,0.1,0.0
46,Valon Behrami,SUI,Centrocampista,Udinese,32,1985,20,18,1398,1,0,1,5,0,0.5,0.3
47,Vid Belec,SVN,PO,Benevento,27,1990,13,13,1113,0,0,0,1,1,0.0,0.0
48,Vid Belec,SVN,PO,Sampdoria,27,1990,2,2,180,0,0,0,0,0,0.0,0.0
49,Andrea Belotti,ITA,Delantero,Torino,23,1993,32,29,2683,10,5,15,2,0,10.5,4.7
50,Ahmad Benali,LBY,Centrocampista,Crotone,25,1992,10,10,811,1,1,2,2,0,0.9,0.3
51,Marco Benassi,ITA,Centrocampista,Fiorentina,22,1994,35,35,2782,5,3,8,6,0,4.0,3.1
52,Medhi Benatia,MAR,Defensa,Juventus,30,1987,20,19,1755,2,0,2,8,0,2.5,0.0
53,Rodrigo Bentancur,URU,Centrocampista,Juventus,20,1997,20,5,581,0,0,0,0,0,0.1,0.3
54,Domenico Berardi,ITA,Delantero,Sassuolo,22,1994,31,29,2296,4,2,6,8,1,8.9,3.7
