Unnamed: 0,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
0,BRA,Defensa,Betis,22,2000,13,7,607,0,0,0,2,0,1.7,0.1,"5,00 mill. €"
1,ESP,PO,Valladolid,19,2003,1,0,13,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
2,ARG,Defensa,Sevilla,30,1991,30,21,1912,3,2,5,10,3,1.2,4.3,"3,00 mill. €"
3,ESP,PO,Athletic Club,21,2000,8,7,675,0,0,0,0,0,0.0,0.0,"8,00 mill. €"
4,ESP,Centrocampista,Valladolid,26,1996,34,18,1888,1,2,3,4,0,1.0,2.2,"6,00 mill. €"
5,GHA,Defensa,Celta Vigo,26,1995,35,35,3119,3,0,3,6,1,1.0,0.1,"7,00 mill. €"
6,ESP,Defensa,Almería,24,1997,29,27,2297,1,0,1,5,0,1.5,2.0,400 mil €
7,CIV,Centrocampista,Betis,24,1997,12,3,447,0,0,0,3,0,0.2,0.0,"2,50 mill. €"
8,AUT,Defensa,Real Madrid,30,1992,23,21,1838,1,3,4,3,0,0.8,1.1,"4,00 mill. €"
9,CHI,Centrocampista,Cádiz,23,1999,4,2,223,0,0,0,2,1,0.0,0.1,"3,50 mill. €"
10,ESP,Defensa,Barcelona,33,1989,24,14,1419,2,3,5,6,1,0.8,6.2,"40,00 mill. €"
11,ESP,Defensa,Villarreal,36,1985,25,24,2119,0,0,0,6,0,0.1,0.0,"1,00 mill. €"
12,ESP,Centrocampista,Cádiz,31,1991,31,22,2043,3,0,3,11,1,4.0,1.3,"2,00 mill. €"
13,PAR,Defensa,Getafe,25,1996,25,23,2047,1,1,2,9,0,0.6,0.8,"3,00 mill. €"
14,ESP,Centrocampista,Cádiz,27,1995,31,13,1311,0,1,1,13,1,1.2,2.4,"1,50 mill. €"
15,ESP,Centrocampista,Getafe,24,1998,35,26,2119,2,2,4,12,1,2.3,1.6,"6,00 mill. €"
16,ESP,Centrocampista,Elche,20,2002,1,0,15,0,0,0,0,0,0.0,0.0,"1,20 mill. €"
18,FRA,Delantero,Real Sociedad,18,2004,19,5,587,1,2,3,1,0,1.8,1.6,"20,00 mill. €"
19,POR,Centrocampista,Valencia,22,2000,34,29,2539,2,4,6,3,0,1.4,3.4,"10,00 mill. €"
20,ESP,Defensa,Barcelona,31,1990,24,11,1172,1,0,1,3,0,0.9,0.3,"3,00 mill. €"
21,ESP,Centrocampista,Sevilla,18,2003,1,0,10,0,0,0,1,0,0.0,0.0,"5,00 mill. €"
