Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Aaron Connolly,IRL,Delantero,Brighton,21,2000.0,15.0,8.0,735.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.0,2.8000000000000003,0.26666666666666666
Aaron Cresswell,ENG,Defensa,West Ham,32,1989.0,30.333333333333332,29.166666666666668,2586.0,1.0,2.6666666666666665,3.6666666666666665,4.0,0.0,0.8500000000000001,3.483333333333333
Aaron Hickey,SCO,Defensa,Brentford,20,2002.0,24.333333333333332,22.333333333333332,1831.3333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,5.666666666666667,0.3333333333333333,0.4666666666666666,0.7666666666666666
Aaron Lennon,ENG,Centrocampista,Burnley,34,1987.0,17.8,11.4,1034.6,0.6,0.6,1.2,1.8,0.0,0.54,0.45999999999999996
Aaron Mooy,AUS,Centrocampista,Huddersfield,28,1990.0,32.0,28.0,2494.0,3.0,2.0,5.0,3.6666666666666665,0.3333333333333333,2.6999999999999997,3.6999999999999997
Aaron Ramsdale,ENG,PO,Bournemouth,24,1998.0,36.75,36.75,3307.5,0.0,0.25,0.25,0.75,0.0,0.0,0.19999999999999998
Aaron Ramsey,WAL,Centrocampista,Arsenal,30,1990.0,20.2,12.0,1083.2,3.2,3.8,7.0,0.8,0.0,3.2399999999999998,2.38
Aaron Rowe,ENG,Delantero,Huddersfield,17,2000.0,2.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,ENG,Defensa,Crystal Palace,24,1997.0,25.0,24.333333333333332,2186.5,0.3333333333333333,1.8333333333333333,2.1666666666666665,3.3333333333333335,0.16666666666666666,0.6,1.5833333333333333
Aarón Escandell,ESP,PO,Granada,25,1995.0,4.0,3.6666666666666665,334.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
Aarón Martín,ESP,Defensa,Espanyol,23,1997.0,25.5,24.0,2177.5,0.0,1.5,1.5,3.5,0.0,0.15000000000000002,1.7999999999999998
Abdallahi Mahmoud,MTN,Centrocampista,Alavés,20,2000.0,2.5,1.0,109.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Abdelhamid Sabiri,MAR,Centrocampista,Huddersfield,25,1996.0,9.75,6.0,557.5,1.25,0.75,2.0,2.25,0.0,1.175,0.775
Abdessamad Ezzalzouli,MAR,Delantero,Barcelona,20,2001.0,19.0,12.5,1042.0,2.5,1.0,3.5,4.0,1.0,2.0,1.4
Abdou Harroui,NED,Centrocampista,Sassuolo,24,1998.0,22.5,4.0,549.5,1.0,0.0,1.0,2.0,0.0,1.0,0.25
Abdou Lahat Diakhate,SEN,Centrocampista,Parma,19,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulay Diaby,MLI,Defensa,Getafe,29,1991.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
Abdoulaye Ba,SEN,Defensa,Rayo Vallecano,27,1991.0,26.0,25.0,2110.0,1.0,0.0,1.0,4.0,2.0,1.3,0.1
Abdoulaye Doucouré,MLI,Centrocampista,Watford,29,1993.0,32.166666666666664,30.333333333333332,2675.8333333333335,4.166666666666667,3.3333333333333335,7.5,7.333333333333333,0.16666666666666666,3.633333333333333,2.85
Abdoulaye Touré,GUI,Centrocampista,Genoa,27,1994.0,8.0,6.0,430.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Abdul Mumin,GHA,Defensa,Rayo Vallecano,24,1998.0,16.0,9.0,922.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0
Abdón Prats,ESP,Delantero,Mallorca,29,1992.0,23.0,2.6666666666666665,445.3333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,1.2333333333333334,0.6999999999999998
Abel Ruiz,ESP,Delantero,Barcelona,18,2000.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1
Abner,BRA,Defensa,Betis,22,2000.0,13.0,7.0,607.0,0.0,0.0,0.0,2.0,0.0,1.7,0.1
Aboubakar Kamara,MTN,Delantero,Fulham,25,1995.0,12.0,3.5,504.0,1.5,0.0,1.5,1.5,0.5,2.1,0.5
Achraf Hakimi,MAR,Defensa,Real Madrid,21,1998.0,23.0,18.5,1711.0,4.5,4.0,8.5,3.0,0.0,2.5,3.25
Achraf Lazaar,MAR,Centrocampista,Benevento,25,1992.0,9.0,6.0,478.0,1.0,0.0,1.0,0.0,0.0,0.3,0.2
Adalberto Peñaranda,VEN,Delantero,Málaga,20,1997.0,13.0,11.0,802.0,0.0,0.0,0.0,3.0,0.0,0.7,0.4
Adam Armstrong,ENG,Delantero,Southampton,25,1997.0,26.5,15.5,1374.0,2.0,1.5,3.5,1.5,0.0,3.3,1.4500000000000002
Adam Forshaw,ENG,Centrocampista,Leeds United,30,1991.0,17.0,11.0,1004.5,0.0,0.5,0.5,2.5,0.0,0.25,0.95
Adam Idah,IRL,Delantero,Norwich City,20,2001.0,14.5,3.5,426.5,0.5,0.5,1.0,0.0,0.0,1.65,0.3
Adam Lallana,ENG,Centrocampista,Liverpool,34,1988.0,18.333333333333332,9.166666666666666,839.5,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.1666666666666667,0.0,1.0333333333333334,1.0
Adam Marušić,MNE,Defensa,Lazio,29,1992.0,29.166666666666668,26.0,2337.1666666666665,1.5,1.8333333333333333,3.3333333333333335,4.166666666666667,0.6666666666666666,1.5166666666666664,1.5
Adam Masina,MAR,Defensa,Watford,28,1994.0,20.6,17.0,1504.2,0.6,0.6,1.2,3.6,0.2,0.66,0.82
Adam Obert,SVK,Defensa,Cagliari,18,2002.0,6.0,3.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Ounas,ALG,Delantero,Napoli,25,1996.0,10.666666666666666,4.166666666666667,413.6666666666667,1.1666666666666667,0.6666666666666666,1.8333333333333333,0.3333333333333333,0.0,0.9166666666666666,1.1333333333333333
Adam Smith,ENG,Defensa,Bournemouth,31,1991.0,28.25,26.25,2283.75,0.5,1.5,2.0,7.25,0.25,0.575,1.1500000000000001
