Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Aaron Connolly,IRL,Delantero,Brighton,21,2000.0,15.0,8.0,735.0,1.6666666666666667,0.6666666666666666,2.333333333333333,0.0,0.0,2.8000000000000003,0.2666666666666666,"3,50 mill. €",0
Aaron Cresswell,ENG,Defensa,West Ham,33,1989.0,25.6,24.6,2188.6,1.0,2.4,3.4,3.2,0.0,0.76,3.34,"1,20 mill. €",1
Aaron Hickey,SCO,Defensa,Brentford,21,2002.0,20.5,19.0,1551.75,1.25,0.5,1.75,5.5,0.25,0.4,0.6,"30,00 mill. €",2
Aaron Ramsdale,ENG,PO,Arsenal,25,1998.0,30.4,30.4,2736.0,0.0,0.2,0.2,0.6,0.0,0.0,0.1599999999999999,"32,00 mill. €",3
Aaron Ramsey,ENG,Delantero,Burnley,30,1993.25,14.0,6.75,619.0,1.25,1.25,2.5,1.0,0.0,1.7,1.225,"2,50 mill. €",4
Aaron Wan-Bissaka,ENG,Defensa,Manchester Utd,26,1997.0,23.0,21.8,1960.8,0.4,1.8,2.2,3.4,0.0,0.6199999999999999,1.66,"25,00 mill. €",5
Aarón Escandell,ESP,PO,Granada,25,1995.0,4.0,3.6666666666666665,334.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,"1,00 mill. €",6
Aarón Martín,ESP,Defensa,Espanyol,26,1997.0,19.33333333333333,17.666666666666668,1567.3333333333333,0.0,1.0,1.0,3.0,0.3333333333333333,0.1,1.2999999999999998,"7,00 mill. €",7
Abdallahi Mahmoud,MTN,Centrocampista,Alavés,20,2000.0,2.5,1.0,109.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,500 mil €,8
Abdel Abqar,MAR,Defensa,Alavés,24,1999.0,11.0,11.0,989.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,"1,40 mill. €",9
Abdelhamid Sabiri,MAR,Centrocampista,Sampdoria,25,1996.0,16.0,10.5,981.0,2.5,1.0,3.5,4.0,0.0,2.2,1.5,"2,50 mill. €",10
Abderrahman Rebbach,ALG,Delantero,Alavés,25,1998.0,11.0,2.0,297.0,1.0,0.0,1.0,0.0,0.0,0.4,0.7,500 mil €,11
